======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  ------------------------------------------------------------------
  10032   351020001       كوع لحام ٢/١ بوصة BR
  10033   351050001       تى لحام ٢/١ بوصة BR
  10034   351070001       جلبة لحام ٢/١ بوصة BR
  10035   351080001       طبة لحام ٢/١ بوصة BR
  10036   351030001       كرنك لحام ٢/١ بوصة BR
  10037   361010001       كوع بسن ٢/١ بوصة BR
  10038   361030001       تى بسن ٢/١ بوصة BR
  10039   361060010       جلبة بسن داخلى ٢/١ بوصة BR
  10040   361050009       جلبة بسن خارجي ٢/١ بوصة BR
  10041   371040025       محبس دفن ٢/١ بوصة BR
  10042   361040001       تى محبس دفن ٢/١ بوصة BR
  10043   371060001       محبس بلية ٢ لاكور ٢/١ بوصة BR
  10044   351010001       كوع لحام ٤٥ درجة ٢/١ بوصة BR
  10045   371073001       لاكور تجميع ٢/١ بوصة BR
  10046   361010001       كوع بسن خارجي ٢/١ بوصة BR
  10047   351080012       طبه ٢/١ بوصه BR اختبار
  10048   371040025       قلب محبس دفن ٢/١ B.R
  10049   351030011       كرنك ٢/١ قصير BR
  10050   331020001       BR متر بولي ٢/١
  10051   331050024       م ٢/١ معزول بي ار
  10052   371073011       جلبة ٢/١ ذكر لاكور PR
  10054   361060008       وصلة ٤٠ سم
  10060   361010002       كوع بسن خارجي 4/3*2/1
  10061   351020002       كوع لحام ٣/٤ بوصة
  10062   351050002       تى لحام ٣/٤ بوصة
  10063   331050025       متر بولي 20 معزول 4/3
  10064   371040025       مشتمل B.R محبس دفن ٣/٤
  10065   351070002       جلبة لحام ٣/٤ بوصة
  10066   371060002       محبس B.R 3/4 بلاكور معزول
  10067   351080002       طبة لحام ٣/٤ بوصة
  10068   361010002       كوع بسن ٣/٤ بوصة * 2/1
  10069   361030012       تى بسن ٣/٤ بوصة * 2/1
  10070   361060002       جلبة بسن داخلى ٢/١ * ٤/٣ بوصة
  10071   361050002       جلبة بسن خارجى ٢/١ * ٤/٣ بوصة
  10072   371040026       محبس دفن ٣/٤ بوصة
  10073   361010004       كوع بسن ٣/٤ بوصة * 4/3
  10074   361030004       تى بسن ٣/٤ بوصة * 4/3
  10075   361060004       جلبة بسن داخلى ٤/٣ * ٤/٣ بوصة
