Index,ID,Barcode,Name,MainCategory,SubCategory,Price,Cost,Stock,UpdatedAt
1,"171149","","طبة كاب ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",0,0,100,"2026-08-13T16:42:44.088799+00:00"
2,"171150","","كوع لحام ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",5,0,100,"2026-08-13T16:42:44.088799+00:00"
3,"171151","","تى لحام ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",5,0,100,"2026-08-13T16:42:44.088799+00:00"
4,"171152","","كوع لحام مفتوح ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",6,0,100,"2026-08-13T16:42:44.088799+00:00"
5,"171153","","محبس دفن ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",185,0,100,"2026-08-13T16:42:44.088799+00:00"
6,"171154","","محبس بلاكور ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",50,0,100,"2026-08-13T16:42:44.088799+00:00"
7,"171157","","كوع سن ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",30,0,100,"2026-08-13T16:42:44.088799+00:00"
8,"171158","","تى سن ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",30,0,100,"2026-08-13T16:42:44.088799+00:00"
9,"171159","","جلبة سن خارجي ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",45,0,100,"2026-08-13T16:42:44.088799+00:00"
10,"171161","","كرنك لحام ١/٢","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",10,0,100,"2026-08-13T16:42:44.088799+00:00"
11,"171248","","محبس زاوية استانلس","مجموعه حنفيات+نواكل","محبس زاوية",50,0,100,"2026-08-13T16:42:44.088799+00:00"
12,"171249","","محبس زاوية p.g","مجموعه حنفيات+نواكل","محبس زاوية",100,0,100,"2026-08-13T16:42:44.088799+00:00"
13,"171250","","محبس زاوية vagner","مجموعه حنفيات+نواكل","محبس زاوية",90,0,100,"2026-08-13T16:42:44.088799+00:00"
14,"171251","","محبس زاوية H.R نحاس","مجموعه حنفيات+نواكل","محبس زاوية",120,0,100,"2026-08-13T16:42:44.088799+00:00"
15,"171252","","محبس زاوية ROVA صغير","مجموعه حنفيات+نواكل","محبس زاوية",120,0,100,"2026-08-13T16:42:44.088799+00:00"
16,"171253","","محبس زاوية p.g plus","مجموعه حنفيات+نواكل","محبس زاوية",140,0,100,"2026-08-13T16:42:44.088799+00:00"
17,"171254","","محبس زاوية ROVA ثقيل","مجموعه حنفيات+نواكل","محبس زاوية",150,0,100,"2026-08-13T16:42:44.088799+00:00"
18,"171255","","محبس زاوية SMART صغير","مجموعه حنفيات+نواكل","محبس زاوية",105,0,100,"2026-08-13T16:42:44.088799+00:00"
19,"171256","","محبس زاوية SMART كبير","مجموعه حنفيات+نواكل","محبس زاوية",155,0,100,"2026-08-13T16:42:44.088799+00:00"
20,"171257","","محبس زاوية SMART بوش","مجموعه حنفيات+نواكل","محبس زاوية",130,0,100,"2026-08-13T16:42:44.088799+00:00"
21,"171258","","محبس زاوية Active اسود","مجموعه حنفيات+نواكل","محبس زاوية",165,0,100,"2026-08-13T16:42:44.088799+00:00"
22,"171260","","محبس زاوية استانلس MARVEL","مجموعه حنفيات+نواكل","محبس زاوية",50,0,100,"2026-08-13T16:42:44.088799+00:00"
23,"171261","","محبس زاوية ROVA كبير","مجموعه حنفيات+نواكل","محبس زاوية",150,0,100,"2026-08-13T16:42:44.088799+00:00"
24,"171412","","وصلة ٣٠ سم تجاري","وصله متعدده","وصلة مرنة تجاري",20,0,100,"2026-08-13T16:42:44.865392+00:00"
25,"171413","","وصلة ٤٠ سم تجاري","وصله متعدده","وصلة مرنة تجاري",20,0,100,"2026-08-13T16:42:44.865392+00:00"
26,"171414","","وصلة ٥٠ سم تجاري","وصله متعدده","وصلة مرنة تجاري",20,0,100,"2026-08-13T16:42:44.865392+00:00"
27,"1785079861617","","طبه كاب 1/2","قطع اكوا استار","قطع ١/٢ بوصة اكوا استار",1,0,0,"2026-08-13T16:42:46.344079+00:00"
28,"1785081115574",""," جلتراپ الاهرام 20 * 20","الاهرام بولي+صرف","قطع ٢بوصه الاهرام ابيض",220,0,0,"2026-08-13T16:42:46.344079+00:00"
29,"1785596955002","TEST-E2E-001","TEST-PRODUCT-E2E-001","1785090872897","",99.99,0,0,"2026-08-13T16:42:46.344079+00:00"
30,"1786295173779","345","سماعه جواد","خلاطات","خلاط شطاف",650,0,0,"2026-08-09T17:06:14.007+00:00"
31,"1786295308778","890","جلبه جواد","خلاطات","خلاط شطاف",55,0,0,"2026-08-09T17:08:32.850491+00:00"
32,"1786295410663","899","غطاء بلاعه اسود","خلاطات","خلاط شطاف",465,0,0,"2026-08-09T17:10:10.663+00:00"
33,"1786295743793","678","محبس دفن اسود ","خلاطات","خلاط شطاف",420,0,0,"2026-08-09T17:15:44.057+00:00"
34,"1786295817381","99","نطره دفن ","خلاطات","خلاط شطاف",125,0,0,"2026-08-09T17:16:57.596+00:00"
35,"1786296143836","888","وش جواد ","خلاطات","",35,0,0,"2026-08-09T17:22:24.086+00:00"
36,"1786720571643","333040002","متر 4 بوصه 3 ملي اسمارت ","اسمارت ابيض","4 بوصه",207.75,0,0,"2026-08-14T20:38:33.406031+00:00"
37,"1786720666411","333040004","متر 4 بوصه 5ملي اسمارت","اسمارت ابيض","4 بوصه",320.25,0,0,"2026-08-14T20:38:33.406031+00:00"
38,"1787232865536","332020009","متر 32 كيسيل","كيسيل","قطع 1 كيسيل",57.75,0,0,"2026-08-23T06:29:33.14794+00:00"
39,"1787233033855","352020008","كوع عاده 32 كيسيل","كيسيل","قطع 1 كيسيل",21,0,0,"2026-08-20T13:37:13.958+00:00"
40,"1787233100591","352010008","كوع مفتوح 32 كيسيل","كيسيل","قطع 1 كيسيل",25.5,0,0,"2026-08-20T13:38:20.689+00:00"
41,"1787233182638","352080009","جلبه 32 كيسيل","كيسيل","قطع 1 كيسيل",30.5,0,0,"2026-08-20T13:39:42.703+00:00"
42,"1787233297415","352040015","مشترك مفتوح 32 كيسيل","كيسيل","قطع 1 كيسيل",52,0,0,"2026-08-20T13:41:37.485+00:00"
43,"1787233356509","352050016","مشترك عاده 32 كيسيل","كيسيل","قطع 1 كيسيل",51,0,0,"2026-08-20T13:42:36.578+00:00"
44,"1787233757804","352092007","مسلوب 50*1 كيسيل","كيسيل","قطع 1 كيسيل",33.75,0,0,"2026-08-20T13:49:17.931+00:00"
45,"1787233990412","","مسلوب 50*32 كيسيل","كيسيل","قطع 1 كيسيل",33.75,0,0,"2026-08-20T13:53:10.527+00:00"
46,"1787234057857","352091012","طبه كاب 32 كيسيل","كيسيل","قطع 1 كيسيل",15.25,0,0,"2026-08-20T13:54:17.971+00:00"
47,"1787234140948","352091006","طبه لتش 32 كيسيل","كيسيل","قطع 1 كيسيل",12.75,0,0,"2026-08-20T13:55:41.068+00:00"
48,"1787234271586","33202001","متر ماوسير  50م كيسيل","كيسيل","قطع 50م كيسيل",73.5,0,0,"2026-08-20T13:57:51.698+00:00"
49,"1787234387400","352010002","كوع مفتوح 50م كيسيل","كيسيل","قطع 50م كيسيل",34.5,0,0,"2026-08-20T13:59:47.515+00:00"
50,"1787234483569","352020002","كوع عاده 50م كيسيل","كيسيل","قطع 50م كيسيل",33.25,0,0,"2026-08-20T14:01:23.679+00:00"
